"Contact.ID","Contact.Source.ID","Full.Name..Company.or.Person."
13606,2,"Safeguard Scientifics, Inc. New"
13753,2,"Sabine Royalty Trust"
13813,2,"zulily, inc. "
13860,2,"Hovnanian Enterprises Inc "
13870,2,"Intuit Inc. "
13887,2,"Baldwin & Lyons, Inc. "
13897,2,"Howard Hughes Corporation (The)"
13935,2,"TubeMogul, Inc. "
14507,2,"Performant Financial Corporation "
14512,2,"Sunshine Heart Inc "
14915,2,"MUELLER WATER PRODUCTS"
14949,2,"Gibraltar Industries, Inc. "
14980,2,"Onvia, Inc. "
15020,2,"MFS Intermarket Income Trust I"
15585,2,"CVR Energy Inc."
15638,2,"RGC Resources Inc. "
15708,2,"Black Box Corporation "
15733,2,"Ohio Valley Banc Corp. "
15759,2,"Avanir Pharmaceuticals, Inc. "
16574,2,"Monroe Capital Corporation "
16694,2,"Xunlei Limited "
16772,2,"Colgate"
16960,2,"PHI, Inc. "
17117,2,"Invesco Value Municipal Income Trust"
17230,2,"Oculus Innovative Sciences, Inc. "
17359,2,"Neothetics, Inc. "
17475,2,"Citizens First Corporation "
17852,2,"Green Plains, Inc. "
17870,2,"Isis Pharmaceuticals, Inc. "
18014,2,"Foot Locker, Inc."
18170,2,"Uni"
18284,2,"Veritiv Corporation"
18380,2,"Steiner Leisure Limited "
18486,2,"CymaBay Therapeutics Inc. "
18526,2,"Bank of Marin Bancorp "
18573,2,"Universal American Corporation New"
18653,2,"OFG Bancorp"
18662,2,"Biocept, Inc. "
18767,2,"India Fund, Inc. (The)"
18963,2,"Scotts Miracle"
19063,2,"China Green Agriculture, Inc."
19244,2,"Aon plc Class A Ordinary Shares (UK)"
19349,2,"GFI Group Inc."
19392,2,"American Independence Corp. "
19402,2,"Momo Inc. "
19633,2,"Hooker Furniture Corporation "
19802,2,"UMH Properties, Inc."
20182,2,"Emulex Corporation"
20242,2,"Chicago Bridge & Iron Company N.V."
20574,2,"Walter Energy, Inc."
20682,2,"ATA Inc. "
20886,2,"Rayonier Advanced Materials Inc."
20977,2,"PACCAR Inc. "
21049,2,"Heritage Financial Corporation "
21126,2,"United Bankshares, Inc. "
21153,2,"Alnylam Pharmaceuticals, Inc. "
21209,2,"Tortoise MLP Fund, Inc."
21232,2,"Alcobra Ltd. "
21244,2,"Honeywell International Inc."
21269,2,"Suburban Propane Partners, L.P."
21793,2,"Family Dollar Stores, Inc."
21976,2,"MBIA Inc."
22017,2,"CHS Inc "
22175,2,"Ironwood Pharmaceuticals, Inc. "
22256,2,"Innodata Inc. "
22316,2,"Platinum Underwriters Holdings, Ltd"
22329,2,"Veracyte, Inc. "
22531,2,"BlackRock Credit Allocation Income Trust"
22763,2,"Natl Bk Greece American Depositary Shares"
23149,2,"Barclays PLC "
23489,2,"Nuverra Environmental Solutions, Inc."
23648,2,"The Carlyle Group L.P. "
23856,2,"Bright Horizons Family Solutions Inc."
23943,2,"Sotherly Hotels Inc. "
24059,2,"Brown Forman Inc Class A"
24235,2,"BlackRock Kelso Capital Corporation "
24384,2,"Atlas Financial Holdings, Inc. "
24502,2,"TCW Strategic Income Fund, Inc."
24600,2,"Maiden Holdings, Ltd. "
24690,2,"Yanzhou Coal Mining Company Limited"
24830,2,"Movado Group Inc."
24932,2,"Safe Bulkers, Inc ($0.001 par value)"
24953,2,"MasTec, Inc."
25911,2,"Daktronics, Inc. "
26023,2,"Tortoise Pipeline & Energy Fund, Inc."
26108,2,"Copa Holdings, S.A. Copa Holdings, S.A. Class A"
26243,2,"Sevcon, Inc. "
26598,2,"Sabra Healthcare REIT, Inc. "
26733,2,"Supertel Hospitality, Inc. "
26750,2,"Halliburton Company"
27044,2,"Ikonics Corporation "
27120,2,"Dyax Corp. "
27194,2,"BJ's Restaurants, Inc. "
27564,2,"Covanta Holding Corporation"
83889,2,"Standex International Corporation"
84777,2,"Semtech Corporation "
84797,2,"Geeknet, Inc. "
84858,2,"Vertex Pharmaceuticals Incorporated "
84865,2,"Giga"
85127,2,"Costamare Inc. $0.0001 par value"
85340,2,"J & J Snack Foods Corp. "
85378,2,"GSI Group, Inc. "
85448,2,"Carbo Ceramics, Inc."
85453,2,"Kinder Morgan, Inc."
85466,2,"QCR Holdings, Inc. "
85520,2,"Splunk Inc. "
85589,2,"Perfumania Holdings, Inc "
85960,2,"HF2 Financial Management Inc. "
85985,2,"Loral Space and Communications, Inc. "
85994,2,"Meta Financial Group, Inc. "
86025,2,"lululemon athletica inc. "
86031,2,"The European Equity Fund, Inc."
86131,2,"Harley"
86202,2,"CenterPoint Energy, Inc (Holding Co)"
90414,2,"Magna International, Inc."
92101,2,"Five9, Inc. "
100424,2,"Apollo Commercial Real Estate Finance, Inc"
102784,2,"Transportadora de Gas del Sur SA TGS"
